table_name,column_name,data_type,ordinal_position
cln_actionkit__auth_user,_dbt_source_relation,STRING,1
cln_actionkit__auth_user,id,INT64,2
cln_actionkit__auth_user,password,STRING,3
cln_actionkit__auth_user,last_login,DATETIME,4
cln_actionkit__auth_user,is_superuser,BOOL,5
cln_actionkit__auth_user,username,STRING,6
cln_actionkit__auth_user,first_name,STRING,7
cln_actionkit__auth_user,last_name,STRING,8
cln_actionkit__auth_user,email,STRING,9
cln_actionkit__auth_user,is_staff,BOOL,10
cln_actionkit__auth_user,is_active,BOOL,11
cln_actionkit__auth_user,date_joined,DATETIME,12
cln_actionkit__auth_user,source_schema,STRING,13
cln_actionkit__auth_user,source_table,STRING,14
cln_actionkit__auth_user,vendor,STRING,15
cln_actionkit__auth_user,vendor_unique_auth_user_id,STRING,16
cln_actionkit__auth_user,data_owner_id,INT64,17
cln_actionkit__auth_user,data_owner_code,STRING,18
cln_actionkit__core_action,_dbt_source_relation,STRING,1
cln_actionkit__core_action,id,INT64,2
cln_actionkit__core_action,utc_created_at,TIMESTAMP,3
cln_actionkit__core_action,utc_updated_at,TIMESTAMP,4
cln_actionkit__core_action,user_id,INT64,5
cln_actionkit__core_action,mailing_id,INT64,6
cln_actionkit__core_action,page_id,INT64,7
cln_actionkit__core_action,link,INT64,8
cln_actionkit__core_action,source,STRING,9
cln_actionkit__core_action,opq_id,STRING,10
cln_actionkit__core_action,created_user,BOOL,11
cln_actionkit__core_action,subscribed_user,BOOL,12
cln_actionkit__core_action,referring_user_id,INT64,13
cln_actionkit__core_action,referring_mailing_id,INT64,14
cln_actionkit__core_action,taf_emails_sent,INT64,15
cln_actionkit__core_action,status,STRING,16
cln_actionkit__core_action,is_forwarded,BOOL,17
cln_actionkit__core_action,ip_address,STRING,18
cln_actionkit__core_action,useragent_id,INT64,19
cln_actionkit__core_action,source_schema,STRING,20
cln_actionkit__core_action,source_table,STRING,21
cln_actionkit__core_action,vendor,STRING,22
cln_actionkit__core_action,vendor_unique_action_id,STRING,23
cln_actionkit__core_action,data_owner_id,INT64,24
cln_actionkit__core_action,data_owner_code,STRING,25
cln_actionkit__core_actionfield,_dbt_source_relation,STRING,1
cln_actionkit__core_actionfield,id,INT64,2
cln_actionkit__core_actionfield,parent_id,INT64,3
cln_actionkit__core_actionfield,name,STRING,4
cln_actionkit__core_actionfield,value,STRING,5
cln_actionkit__core_actionfield,source_schema,STRING,6
cln_actionkit__core_actionfield,source_table,STRING,7
cln_actionkit__core_actionfield,vendor,STRING,8
cln_actionkit__core_actionfield,vendor_unique_actionfield_id,STRING,9
cln_actionkit__core_actionfield,data_owner_id,INT64,10
cln_actionkit__core_actionfield,data_owner_code,STRING,11
cln_actionkit__core_bounce_soft,_dbt_source_relation,STRING,1
cln_actionkit__core_bounce_soft,id,INT64,2
cln_actionkit__core_bounce_soft,user_id,INT64,3
cln_actionkit__core_bounce_soft,mailing_id,INT64,4
cln_actionkit__core_bounce_soft,action_id,INT64,5
cln_actionkit__core_bounce_soft,bounce_class,INT64,6
cln_actionkit__core_bounce_soft,utc_created_at,TIMESTAMP,7
cln_actionkit__core_bounce_soft,source_schema,STRING,8
cln_actionkit__core_bounce_soft,source_table,STRING,9
cln_actionkit__core_bounce_soft,vendor,STRING,10
cln_actionkit__core_bounce_soft,vendor_unique_bounce_soft_id,STRING,11
cln_actionkit__core_bounce_soft,data_owner_id,INT64,12
cln_actionkit__core_bounce_soft,data_owner_code,STRING,13
cln_actionkit__core_callaction_checked,_dbt_source_relation,STRING,1
cln_actionkit__core_callaction_checked,id,INT64,2
cln_actionkit__core_callaction_checked,callaction_id,INT64,3
cln_actionkit__core_callaction_checked,target_id,INT64,4
cln_actionkit__core_callaction_checked,source_schema,STRING,5
cln_actionkit__core_callaction_checked,source_table,STRING,6
cln_actionkit__core_callaction_checked,vendor,STRING,7
cln_actionkit__core_callaction_checked,vendor_unique_callaction_checked_id,STRING,8
cln_actionkit__core_callaction_checked,data_owner_id,INT64,9
cln_actionkit__core_callaction_checked,data_owner_code,STRING,10
cln_actionkit__core_callaction_targeted,_dbt_source_relation,STRING,1
cln_actionkit__core_callaction_targeted,id,INT64,2
cln_actionkit__core_callaction_targeted,callaction_id,INT64,3
cln_actionkit__core_callaction_targeted,target_id,INT64,4
cln_actionkit__core_callaction_targeted,source_schema,STRING,5
cln_actionkit__core_callaction_targeted,source_table,STRING,6
cln_actionkit__core_callaction_targeted,vendor,STRING,7
cln_actionkit__core_callaction_targeted,vendor_unique_callaction_targeted_id,STRING,8
cln_actionkit__core_callaction_targeted,data_owner_id,INT64,9
cln_actionkit__core_callaction_targeted,data_owner_code,STRING,10
cln_actionkit__core_candidate,_dbt_source_relation,STRING,1
cln_actionkit__core_candidate,id,INT64,2
cln_actionkit__core_candidate,utc_created_at,TIMESTAMP,3
cln_actionkit__core_candidate,utc_updated_at,TIMESTAMP,4
cln_actionkit__core_candidate,hidden,BOOL,5
cln_actionkit__core_candidate,name,STRING,6
cln_actionkit__core_candidate,fec_id,STRING,7
cln_actionkit__core_candidate,portrait_url,STRING,8
cln_actionkit__core_candidate,description,STRING,9
cln_actionkit__core_candidate,status,STRING,10
cln_actionkit__core_candidate,is_ours,BOOL,11
cln_actionkit__core_candidate,source_schema,STRING,12
cln_actionkit__core_candidate,source_table,STRING,13
cln_actionkit__core_candidate,vendor,STRING,14
cln_actionkit__core_candidate,vendor_unique_candidate_id,STRING,15
cln_actionkit__core_candidate,data_owner_id,INT64,16
cln_actionkit__core_candidate,data_owner_code,STRING,17
cln_actionkit__core_click,_dbt_source_relation,STRING,1
cln_actionkit__core_click,clickurl_id,INT64,2
cln_actionkit__core_click,user_id,INT64,3
cln_actionkit__core_click,mailing_id,INT64,4
cln_actionkit__core_click,link_number,INT64,5
cln_actionkit__core_click,source,STRING,6
cln_actionkit__core_click,referring_user_id,INT64,7
cln_actionkit__core_click,utc_created_at,TIMESTAMP,8
cln_actionkit__core_click,id,INT64,9
cln_actionkit__core_click,useragent_id,INT64,10
cln_actionkit__core_click,source_schema,STRING,11
cln_actionkit__core_click,source_table,STRING,12
cln_actionkit__core_click,vendor,STRING,13
cln_actionkit__core_click,vendor_unique_click_id,STRING,14
cln_actionkit__core_click,data_owner_id,INT64,15
cln_actionkit__core_click,data_owner_code,STRING,16
cln_actionkit__core_clickurl,_dbt_source_relation,STRING,1
cln_actionkit__core_clickurl,id,INT64,2
cln_actionkit__core_clickurl,url,STRING,3
cln_actionkit__core_clickurl,page_id,INT64,4
cln_actionkit__core_clickurl,utc_created_at,TIMESTAMP,5
cln_actionkit__core_clickurl,source_schema,STRING,6
cln_actionkit__core_clickurl,source_table,STRING,7
cln_actionkit__core_clickurl,vendor,STRING,8
cln_actionkit__core_clickurl,vendor_unique_clickurl_id,STRING,9
cln_actionkit__core_clickurl,data_owner_id,INT64,10
cln_actionkit__core_clickurl,data_owner_code,STRING,11
cln_actionkit__core_cwcdeliverylog,_dbt_source_relation,STRING,1
cln_actionkit__core_cwcdeliverylog,id,INT64,2
cln_actionkit__core_cwcdeliverylog,utc_created_at,TIMESTAMP,3
cln_actionkit__core_cwcdeliverylog,utc_updated_at,TIMESTAMP,4
cln_actionkit__core_cwcdeliverylog,target_id,INT64,5
cln_actionkit__core_cwcdeliverylog,action_id,INT64,6
cln_actionkit__core_cwcdeliverylog,cwc_delivery_id,STRING,7
cln_actionkit__core_cwcdeliverylog,source_schema,STRING,8
cln_actionkit__core_cwcdeliverylog,source_table,STRING,9
cln_actionkit__core_cwcdeliverylog,vendor,STRING,10
cln_actionkit__core_cwcdeliverylog,vendor_unique_cwcdeliverylog_id,STRING,11
cln_actionkit__core_cwcdeliverylog,data_owner_id,INT64,12
cln_actionkit__core_cwcdeliverylog,data_owner_code,STRING,13
cln_actionkit__core_donationaction,_dbt_source_relation,STRING,1
cln_actionkit__core_donationaction,action_ptr_id,INT64,2
cln_actionkit__core_donationaction,source_schema,STRING,3
cln_actionkit__core_donationaction,source_table,STRING,4
cln_actionkit__core_donationaction,vendor,STRING,5
cln_actionkit__core_donationaction,vendor_unique_donationaction_id,STRING,6
