column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
id,INT64,2
utc_created_at,TIMESTAMP,3
utc_updated_at,TIMESTAMP,4
user_id,INT64,5
mailing_id,INT64,6
page_id,INT64,7
link,INT64,8
source,STRING,9
opq_id,STRING,10
created_user,BOOL,11
subscribed_user,BOOL,12
referring_user_id,INT64,13
referring_mailing_id,INT64,14
taf_emails_sent,INT64,15
status,STRING,16
is_forwarded,BOOL,17
ip_address,STRING,18
useragent_id,INT64,19
source_schema,STRING,20
source_table,STRING,21
vendor,STRING,22
vendor_unique_action_id,STRING,23
data_owner_id,INT64,24
data_owner_code,STRING,25
