column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
utc_created_at,TIMESTAMP,2
utc_updated_at,TIMESTAMP,3
user_id,INT64,4
us_district,STRING,5
us_state_senate,STRING,6
us_state_district,STRING,7
us_county,STRING,8
loc_code,STRING,9
longitude,FLOAT64,10
latitude,FLOAT64,11
country_code,STRING,12
region_code,STRING,13
lat_lon_precision,STRING,14
timezone,STRING,15
source_schema,STRING,16
source_table,STRING,17
vendor,STRING,18
vendor_unique_location_id,STRING,19
data_owner_id,INT64,20
data_owner_code,STRING,21
