column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
id,INT64,2
utc_created_at,TIMESTAMP,3
utc_updated_at,TIMESTAMP,4
hidden,BOOL,5
fromline_id,INT64,6
custom_fromline,STRING,7
reply_to,STRING,8
notes,STRING,9
html,STRING,10
text,STRING,11
lang_id,INT64,12
emailwrapper_id,INT64,13
web_viewable,BOOL,14
landing_page_id,INT64,15
target_group_from_landing_page,BOOL,16
winning_subject_id,INT64,17
requested_proofs,INT64,18
requested_proof_date,DATETIME,19
submitter_id,INT64,20
scheduled_for,DATETIME,21
scheduled_by_id,INT64,22
recurring_schedule_id,INT64,23
recurring_source_mailing_id,INT64,24
rebuild_query_at_send,BOOL,25
queue_task_id,STRING,26
queued_at,DATETIME,27
queued_by_id,INT64,28
expected_send_count,INT64,29
started_at,DATETIME,30
finished_at,DATETIME,31
query_queued_at,DATETIME,32
query_started_at,DATETIME,33
query_completed_at,DATETIME,34
query_previous_runtime,INT64,35
query_status,STRING,36
query_task_id,STRING,37
targeting_version,INT64,38
targeting_version_saved,INT64,39
rate,FLOAT64,40
progress,INT64,41
status,STRING,42
includes_id,INT64,43
excludes_id,INT64,44
limit,INT64,45
limit_percent,INT64,46
sort_by,STRING,47
pid,INT64,48
sent_proofs,INT64,49
mergefile_id,INT64,50
target_mergefile,BOOL,51
mergequery_report_id,INT64,52
target_mergequery,BOOL,53
send_time_source,STRING,54
send_time_validation_job_id,INT64,55
mails_per_second,FLOAT64,56
send_date,STRING,57
exclude_ordering,INT64,58
test_group_id,INT64,59
test_remainder,INT64,60
version,INT64,61
archive,STRING,62
use_autotest,BOOL,63
autotest_status,STRING,64
autotest_resend_id,INT64,65
autotest_wait_minutes,INT64,66
autotest_metric,STRING,67
autotest_max_unsub_rate,FLOAT64,68
send_time_local,DATETIME,69
send_time_local_fallback,DATETIME,70
amp_html,STRING,71
send_time_local_no_fallback,BOOL,72
bee_json,STRING,73
bee_session,STRING,74
amp_archive,STRING,75
source_schema,STRING,76
source_table,STRING,77
vendor,STRING,78
vendor_unique_mailing_id,STRING,79
data_owner_id,INT64,80
data_owner_code,STRING,81
