column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
id,INT64,2
utc_created_at,TIMESTAMP,3
utc_updated_at,TIMESTAMP,4
states,STRING,5
cds,STRING,6
zips,STRING,7
zip_radius,INT64,8
has_donated,BOOL,9
is_monthly_donor,BOOL,10
raw_sql,STRING,11
state_house_districts,STRING,12
state_senate_districts,STRING,13
is_delivery,BOOL,14
delivery_job_id,INT64,15
counties,STRING,16
campaign_radius,INT64,17
countries,STRING,18
divisions,STRING,19
campaign_samestate_only,BOOL,20
mirror_mailing_excludes,BOOL,21
regions,STRING,22
campaign_same_district_only,BOOL,23
campaign_first_date,STRING,24
campaign_last_date,STRING,25
campaign_same_county_only,BOOL,26
scorepool_score_min,INT64,27
scorepool_score_max,INT64,28
scorepool_score_include_missing,BOOL,29
mailbox_provider_activity_id,INT64,30
source_schema,STRING,31
source_table,STRING,32
vendor,STRING,33
vendor_unique_mailingtargeting_id,STRING,34
data_owner_id,INT64,35
data_owner_code,STRING,36
