column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
id,INT64,2
utc_created_at,TIMESTAMP,3
utc_updated_at,TIMESTAMP,4
hidden,BOOL,5
address1,STRING,6
address2,STRING,7
city,STRING,8
state,STRING,9
us_district,STRING,10
region,STRING,11
postal,STRING,12
zip,STRING,13
plus4,STRING,14
country,STRING,15
longitude,FLOAT64,16
latitude,FLOAT64,17
orgid,INT64,18
name,STRING,19
phone,STRING,20
fax,STRING,21
email_address,STRING,22
website_url,STRING,23
circulation,INT64,24
frequency,STRING,25
language,STRING,26
levelcode,STRING,27
dmacode,STRING,28
fipscode,INT64,29
msacode,INT64,30
source_schema,STRING,31
source_table,STRING,32
vendor,STRING,33
vendor_unique_core_mediatarget_id,STRING,34
data_owner_id,INT64,35
data_owner_code,STRING,36
