column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
id,INT64,2
utc_created_at,TIMESTAMP,3
utc_updated_at,TIMESTAMP,4
action_id,INT64,5
user_id,INT64,6
user_detail_id,INT64,7
card_num_last_four,STRING,8
shipping_address_id,INT64,9
total,NUMERIC,10
currency,STRING,11
total_converted,NUMERIC,12
status,STRING,13
import_id,STRING,14
account,STRING,15
payment_method,STRING,16
source_schema,STRING,17
source_table,STRING,18
vendor,STRING,19
vendor_unique_order_id,STRING,20
data_owner_id,INT64,21
data_owner_code,STRING,22
