column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
id,INT64,2
utc_created_at,TIMESTAMP,3
utc_updated_at,TIMESTAMP,4
hidden,BOOL,5
title,STRING,6
name,STRING,7
notes,STRING,8
hosted_with_id,INT64,9
url,STRING,10
type,STRING,11
lang_id,INT64,12
multilingual_campaign_id,INT64,13
goal,INT64,14
goal_type,STRING,15
status,STRING,16
list_id,INT64,17
allow_multiple_responses,BOOL,18
real_actions,BOOL,19
recognize,STRING,20
never_spam_check,BOOL,21
source_schema,STRING,22
source_table,STRING,23
vendor,STRING,24
vendor_unique_page_id,STRING,25
data_owner_id,INT64,26
data_owner_code,STRING,27
