column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
id,INT64,2
utc_created_at,TIMESTAMP,3
utc_updated_at,TIMESTAMP,4
type,STRING,5
seat,STRING,6
country,STRING,7
state,STRING,8
us_district,STRING,9
title,STRING,10
long_title,STRING,11
first,STRING,12
last,STRING,13
official_full,STRING,14
nickname,STRING,15
phone,STRING,16
fax,STRING,17
email,STRING,18
gender,STRING,19
party,STRING,20
hidden,BOOL,21
district_name,STRING,22
city,STRING,23
region,STRING,24
county,STRING,25
twitter,STRING,26
twitter_id,STRING,27
facebook,STRING,28
facebook_id,STRING,29
youtube,STRING,30
youtube_id,STRING,31
instagram,STRING,32
instagram_id,STRING,33
source_schema,STRING,34
source_table,STRING,35
vendor,STRING,36
vendor_unique_target_id,STRING,37
data_owner_id,INT64,38
data_owner_code,STRING,39
