column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
id,INT64,2
utc_created_at,TIMESTAMP,3
utc_updated_at,TIMESTAMP,4
type,STRING,5
order_id,INT64,6
account,STRING,7
test_mode,BOOL,8
amount,NUMERIC,9
amount_converted,NUMERIC,10
success,BOOL,11
trans_id,STRING,12
failure_description,STRING,13
failure_code,STRING,14
failure_message,STRING,15
status,STRING,16
currency,STRING,17
ref_transaction_id,INT64,18
source_schema,STRING,19
source_table,STRING,20
vendor,STRING,21
vendor_unique_transaction_id,STRING,22
data_owner_id,INT64,23
data_owner_code,STRING,24
