column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
user_id,INT64,2
utc_created_at,TIMESTAMP,3
utc_updated_at,TIMESTAMP,4
email_address,STRING,5
prefix_name,STRING,6
first_name,STRING,7
middle_name,STRING,8
last_name,STRING,9
suffix_name,STRING,10
password,STRING,11
subscription_status,STRING,12
is_subscribed,BOOL,13
address_line_1,STRING,14
address_line_2,STRING,15
city,STRING,16
state_code,STRING,17
international_region,STRING,18
international_postal_code,STRING,19
zip_code,STRING,20
plus_four_code,STRING,21
country,STRING,22
user_source,STRING,23
language_id,INT64,24
rand_id,INT64,25
email_domain,STRING,26
source_schema,STRING,27
source_table,STRING,28
vendor,STRING,29
vendor_unique_user_id,STRING,30
data_owner_id,INT64,31
data_owner_code,STRING,32
