column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
id,INT64,2
utc_created_at,TIMESTAMP,3
utc_updated_at,TIMESTAMP,4
title,STRING,5
name,STRING,6
public_create_page,BOOL,7
use_title,BOOL,8
starts_at,DATETIME,9
use_start_date,BOOL,10
use_start_time,BOOL,11
require_staff_approval,BOOL,12
require_email_confirmation,BOOL,13
allow_private,BOOL,14
max_event_size,INT64,15
default_event_size,INT64,16
public_search_page,BOOL,17
show_title,BOOL,18
show_venue,BOOL,19
show_address1,BOOL,20
show_city,BOOL,21
show_state,BOOL,22
show_zip,BOOL,23
show_public_description,BOOL,24
show_directions,BOOL,25
show_attendee_count,BOOL,26
default_title,STRING,27
hidden,BOOL,28
show_completed_events,BOOL,29
show_full_events,BOOL,30
timezone,STRING,31
allow_moderation,BOOL,32
allow_moderator_edits,BOOL,33
show_notes,BOOL,34
mode_onsite,BOOL,35
mode_local,BOOL,36
mode_global,BOOL,37
source_schema,STRING,38
source_table,STRING,39
vendor,STRING,40
vendor_unique_events_campaign_id,STRING,41
data_owner_id,INT64,42
data_owner_code,STRING,43
