column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
id,INT64,2
utc_created_at,TIMESTAMP,3
utc_updated_at,TIMESTAMP,4
address1,STRING,5
address2,STRING,6
city,STRING,7
state,STRING,8
us_district,STRING,9
region,STRING,10
postal,STRING,11
zip,STRING,12
plus4,STRING,13
country,STRING,14
longitude,FLOAT64,15
latitude,FLOAT64,16
campaign_id,INT64,17
title,STRING,18
creator_id,INT64,19
starts_at,DATETIME,20
ends_at,DATETIME,21
status,STRING,22
host_is_confirmed,BOOL,23
is_private,BOOL,24
is_approved,BOOL,25
attendee_count,INT64,26
max_attendees,INT64,27
venue,STRING,28
phone,STRING,29
public_description,STRING,30
directions,STRING,31
note_to_attendees,STRING,32
notes,STRING,33
starts_at_utc,DATETIME,34
ends_at_utc,DATETIME,35
confirmed_at,DATETIME,36
approved_at,DATETIME,37
us_state_senate,STRING,38
us_state_district,STRING,39
merged_to_id,INT64,40
us_county,STRING,41
mode,STRING,42
timezone,STRING,43
source_schema,STRING,44
source_table,STRING,45
vendor,STRING,46
vendor_unique_events_event_id,STRING,47
data_owner_id,INT64,48
data_owner_code,STRING,49
