column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
utc_created_at,TIMESTAMP,2
utc_updated_at,TIMESTAMP,3
mailing_id,INT64,4
finished_at,DATETIME,5
recipients,INT64,6
total_opens,INT64,7
total_raw_opens,INT64,8
opens,INT64,9
raw_opens,INT64,10
total_clicks,INT64,11
actions,INT64,12
orders,INT64,13
amount,NUMERIC,14
amount_converted,NUMERIC,15
unsubscribes,INT64,16
bounces,INT64,17
complaints,INT64,18
total_raw_clicks,INT64,19
clicks,INT64,20
raw_clicks,INT64,21
total_unsubscribes,INT64,22
new_users,INT64,23
bounces_all,INT64,24
delays,INT64,25
source_schema,STRING,26
source_table,STRING,27
vendor,STRING,28
vendor_unique_summary_mailing_id,STRING,29
data_owner_id,INT64,30
data_owner_code,STRING,31
