column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
id,INT64,2
utc_created_at,TIMESTAMP,3
utc_updated_at,TIMESTAMP,4
mailing_id,INT64,5
subject_id,INT64,6
finished_at,DATETIME,7
recipients,INT64,8
opens,INT64,9
raw_opens,INT64,10
total_opens,INT64,11
total_raw_opens,INT64,12
clicks,INT64,13
raw_clicks,INT64,14
total_clicks,INT64,15
total_raw_clicks,INT64,16
actions,INT64,17
orders,INT64,18
amount,NUMERIC,19
amount_converted,NUMERIC,20
unsubscribes,INT64,21
bounces,INT64,22
complaints,INT64,23
total_unsubscribes,INT64,24
new_users,INT64,25
source_schema,STRING,26
source_table,STRING,27
vendor,STRING,28
vendor_unique_summary_mailingsubject_id,STRING,29
data_owner_id,INT64,30
data_owner_code,STRING,31
