column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
utc_created_at,TIMESTAMP,2
utc_updated_at,TIMESTAMP,3
user_id,INT64,4
last_action,DATETIME,5
last_mailing_action,DATETIME,6
last_open,DATETIME,7
last_click,DATETIME,8
last_subscribed,DATETIME,9
last_donation,DATETIME,10
actions_last_30_days,INT64,11
actions_last_60_days,INT64,12
actions_last_90_days,INT64,13
actions_last_180_days,INT64,14
actions_last_270_days,INT64,15
actions_last_365_days,INT64,16
last_mailed,DATETIME,17
last_raw_open,DATETIME,18
mailbox_provider,STRING,19
source_schema,STRING,20
source_table,STRING,21
vendor,STRING,22
vendor_unique_summary_user_id,STRING,23
data_owner_id,INT64,24
data_owner_code,STRING,25
