table_catalog,table_schema,table_name,column_name,data_type,is_nullable,ordinal_position
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_keywords,_dbt_source_relation,STRING,YES,1
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_keywords,id,INT64,YES,2
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_keywords,action_id,INT64,YES,3
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_keywords,action_type,STRING,YES,4
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_keywords,group_id,INT64,YES,5
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_keywords,text,STRING,YES,6
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_keywords,utc_created_at,TIMESTAMP,YES,7
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_keywords,utc_updated_at,TIMESTAMP,YES,8
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_keywords,source_schema,STRING,YES,9
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_keywords,source_table,STRING,YES,10
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_keywords,vendor,STRING,YES,11
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_keywords,segment_by_key,STRING,YES,12
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_keywords,vendor_unique_action_keyword_id,STRING,YES,13
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_keywords,data_owner_id,INT64,YES,14
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_keywords,data_owner_code,STRING,YES,15
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_questions,_dbt_source_relation,STRING,YES,1
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_questions,id,INT64,YES,2
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_questions,action_type,STRING,YES,3
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_questions,action_id,INT64,YES,4
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_questions,question_id,INT64,YES,5
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_questions,custom_json,STRING,YES,6
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_questions,utc_created_at,TIMESTAMP,YES,7
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_questions,utc_updated_at,TIMESTAMP,YES,8
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_questions,required,INT64,YES,9
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_questions,source_schema,STRING,YES,10
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_questions,source_table,STRING,YES,11
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_questions,vendor,STRING,YES,12
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_questions,segment_by_key,STRING,YES,13
proj-tmc-mem-dsa,actionnetwork_cleaned,cln_actionnetwork__action_questions,vendor_unique_action_question_id,STRING,YES,14
