column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
title,STRING,true,3
target,STRING,true,4
phone_number_sid,STRING,true,5
uuid,STRING,true,6
permalink,STRING,true,7
first_permalink,STRING,true,8
language,STRING,true,9
display_creator,INT64,true,10
boolean,INT64,true,11
form_builder_output,STRING,true,12
form_builder_output_json,STRING,true,13
group_id,INT64,true,14
user_id,INT64,true,15
audio_message_file_name,STRING,true,16
audio_message_content_type,STRING,true,17
audio_message_file_size,INT64,true,18
audio_message_updated_at,TIMESTAMP,true,19
status,INT64,true,20
utc_created_at,TIMESTAMP,true,21
utc_updated_at,TIMESTAMP,true,22
stats,STRING,true,23
test_mode,INT64,true,24
tag_list,STRING,true,25
first_publish,INT64,true,26
hidden,INT64,true,27
call_count,INT64,true,28
phone_number,STRING,true,29
csv_content_type,STRING,true,30
csv_file_size,INT64,true,31
csv_file_name,STRING,true,32
csv_updated_at,TIMESTAMP,true,33
targets_not_found_sms_text,STRING,true,34
thankyou_sms_text,STRING,true,35
targets_not_found_sms_enabled,INT64,true,36
thankyou_sms_enabled,INT64,true,37
originating_system,STRING,true,38
click_to_call,INT64,true,39
description_info,STRING,true,40
photo_file_name,STRING,true,41
photo_content_type,STRING,true,42
photo_file_size,INT64,true,43
show_goal,INT64,true,44
custom_fields,STRING,true,45
description,STRING,true,46
image_attribution,STRING,true,47
administrative_title,STRING,true,48
display_sharing_options,INT64,true,49
share_url,STRING,true,50
instructions,STRING,true,51
call_goal,INT64,true,52
thank_you_headline,STRING,true,53
thank_you_subhead,STRING,true,54
no_target_redirect,STRING,true,55
submit_button_title,STRING,true,56
browser_url,STRING,true,57
thankyou_not_subscribed_sms_text,STRING,true,58
source_schema,STRING,true,59
source_table,STRING,true,60
vendor,STRING,true,61
segment_by_key,STRING,true,62
vendor_unique_call_campaign_id,STRING,true,63
data_owner_id,INT64,true,64
data_owner_code,STRING,true,65
