column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
call_id,INT64,true,3
bioid,STRING,true,4
target_name,STRING,true,5
target_position,STRING,true,6
target_state,STRING,true,7
target_district,STRING,true,8
target_party,STRING,true,9
uuid,STRING,true,10
status,INT64,true,11
utc_created_at,TIMESTAMP,true,12
utc_updated_at,TIMESTAMP,true,13
target_phone,STRING,true,14
target_type,STRING,true,15
target_country,STRING,true,16
call_duration,INT64,true,17
source_schema,STRING,true,18
source_table,STRING,true,19
vendor,STRING,true,20
segment_by_key,STRING,true,21
vendor_unique_call_target_id,STRING,true,22
data_owner_id,INT64,true,23
data_owner_code,STRING,true,24
