column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
call_campaign_id,INT64,true,3
user_id,INT64,true,4
originating_system,STRING,true,5
uuid,STRING,true,6
tag_list,STRING,true,7
status,INT64,true,8
first_name,STRING,true,9
last_name,STRING,true,10
zip_code,STRING,true,11
email_address,STRING,true,12
country,STRING,true,13
state,STRING,true,14
city,STRING,true,15
street,STRING,true,16
phone_number,STRING,true,17
utc_created_at,TIMESTAMP,true,18
utc_updated_at,TIMESTAMP,true,19
twilio_call_sid,STRING,true,20
custom_fields,STRING,true,21
display_name,STRING,true,22
source_schema,STRING,true,23
source_table,STRING,true,24
vendor,STRING,true,25
segment_by_key,STRING,true,26
vendor_unique_call_id,STRING,true,27
data_owner_id,INT64,true,28
data_owner_code,STRING,true,29
