column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
date,TIMESTAMP,true,3
group_id,INT64,true,4
open,INT64,true,5
open_gmail,INT64,true,6
open_yahoo,INT64,true,7
open_hotmail,INT64,true,8
open_outlook,INT64,true,9
open_msn,INT64,true,10
open_aol,INT64,true,11
open_comcast,INT64,true,12
click,INT64,true,13
click_gmail,INT64,true,14
click_yahoo,INT64,true,15
click_hotmail,INT64,true,16
click_outlook,INT64,true,17
click_msn,INT64,true,18
click_aol,INT64,true,19
click_comcast,INT64,true,20
bounce,INT64,true,21
bounce_gmail,INT64,true,22
bounce_yahoo,INT64,true,23
bounce_hotmail,INT64,true,24
bounce_outlook,INT64,true,25
bounce_msn,INT64,true,26
bounce_aol,INT64,true,27
bounce_comcast,INT64,true,28
unsubscribe,INT64,true,29
unsubscribe_gmail,INT64,true,30
unsubscribe_yahoo,INT64,true,31
unsubscribe_hotmail,INT64,true,32
unsubscribe_outlook,INT64,true,33
unsubscribe_msn,INT64,true,34
unsubscribe_aol,INT64,true,35
unsubscribe_comcast,INT64,true,36
spam,INT64,true,37
spam_gmail,INT64,true,38
spam_yahoo,INT64,true,39
spam_hotmail,INT64,true,40
spam_outlook,INT64,true,41
spam_msn,INT64,true,42
spam_aol,INT64,true,43
spam_comcast,INT64,true,44
sent,INT64,true,45
sent_gmail,INT64,true,46
sent_yahoo,INT64,true,47
sent_hotmail,INT64,true,48
sent_outlook,INT64,true,49
sent_msn,INT64,true,50
sent_aol,INT64,true,51
sent_comcast,INT64,true,52
utc_created_at,TIMESTAMP,true,53
utc_updated_at,TIMESTAMP,true,54
source_schema,STRING,true,55
source_table,STRING,true,56
vendor,STRING,true,57
segment_by_key,STRING,true,58
vendor_unique_d12y_stat_id,STRING,true,59
data_owner_id,INT64,true,60
data_owner_code,STRING,true,61
