column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
fundraising_id,INT64,true,3
user_id,INT64,true,4
group_id,INT64,true,5
recurring,INT64,true,6
recurring_period,STRING,true,7
utc_created_at,TIMESTAMP,true,8
utc_updated_at,TIMESTAMP,true,9
amount,FLOAT64,true,10
donation_user_id,INT64,true,11
error,INT64,true,12
error_message,STRING,true,13
error_code,STRING,true,14
tip,INT64,true,15
donation_id,INT64,true,16
name,STRING,true,17
wepay_id,INT64,true,18
wepay_status,STRING,true,19
transaction_id,STRING,true,20
source_schema,STRING,true,21
source_table,STRING,true,22
vendor,STRING,true,23
segment_by_key,STRING,true,24
vendor_unique_donation_payment_id,STRING,true,25
data_owner_id,INT64,true,26
data_owner_code,STRING,true,27
