column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
user_id,INT64,true,3
group_id,INT64,true,4
from_suffix,STRING,true,5
header,STRING,true,6
footer,STRING,true,7
utc_created_at,TIMESTAMP,true,8
utc_updated_at,TIMESTAMP,true,9
name,STRING,true,10
logo_content_type,STRING,true,11
logo_file_name,STRING,true,12
logo_file_size,INT64,true,13
logo_dimensions,STRING,true,14
unsubscribe,INT64,true,15
uuid,STRING,true,16
notes,STRING,true,17
syndicated,INT64,true,18
hidden,INT64,true,19
source_schema,STRING,true,20
source_table,STRING,true,21
vendor,STRING,true,22
segment_by_key,STRING,true,23
vendor_unique_email_template_id,STRING,true,24
data_owner_id,INT64,true,25
data_owner_code,STRING,true,26
