column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
title,STRING,true,3
target_name,STRING,true,4
target_title,STRING,true,5
target_organization,STRING,true,6
description_info,STRING,true,7
description_text,STRING,true,8
rsvp_count,INT64,true,9
rsvp_goal,INT64,true,10
user_id,INT64,true,11
group_id,INT64,true,12
utc_created_at,TIMESTAMP,true,13
utc_updated_at,TIMESTAMP,true,14
photo_file_name,STRING,true,15
photo_content_type,STRING,true,16
photo_file_size,INT64,true,17
permalink,STRING,true,18
status,INT64,true,19
custom_fields,STRING,true,20
instructions,STRING,true,21
location_name,STRING,true,22
address,STRING,true,23
city,STRING,true,24
state,STRING,true,25
zip_code,STRING,true,26
utc_start_at,TIMESTAMP,true,27
private,INT64,true,28
first_publish,INT64,true,29
event_campaign_id,INT64,true,30
latitude,FLOAT64,true,31
longitude,FLOAT64,true,32
event_campaign_upload_id,INT64,true,33
notifications,INT64,true,34
redirect_url,STRING,true,35
share_url,STRING,true,36
stats,STRING,true,37
uuid,STRING,true,38
suppress_autoresponse,INT64,true,39
originating_system,STRING,true,40
first_permalink,STRING,true,41
salesforce_id,STRING,true,42
contact_info,STRING,true,43
country,STRING,true,44
display_creator,INT64,true,45
tag_list,STRING,true,46
rsvp_limit,INT64,true,47
automatic_notifications,INT64,true,48
administrative_title,STRING,true,49
form_builder_output,STRING,true,50
form_builder_output_json,STRING,true,51
show_goal,INT64,true,52
hidden,INT64,true,53
csv_file_name,STRING,true,54
csv_content_type,STRING,true,55
csv_file_size,INT64,true,56
csv_updated_at,TIMESTAMP,true,57
display_sharing_options,INT64,true,58
submit_button_title,STRING,true,59
has_end_date,INT64,true,60
end_at,TIMESTAMP,true,61
timezone,STRING,true,62
has_no_location,INT64,true,63
disable_discussions,INT64,true,64
reminder_message,STRING,true,65
reminder_from,STRING,true,66
reminder_subject,STRING,true,67
reminder_reply_to,STRING,true,68
email_template_id,INT64,true,69
allow_guests,INT64,true,70
language,STRING,true,71
first_name_required,INT64,true,72
last_name_required,INT64,true,73
zip_code_required,INT64,true,74
first_name_present,INT64,true,75
last_name_present,INT64,true,76
zip_code_present,INT64,true,77
event_upload_id,INT64,true,78
thank_you_headline,STRING,true,79
thank_you_subhead,STRING,true,80
image_attribution,STRING,true,81
browser_url,STRING,true,82
source_schema,STRING,true,83
source_table,STRING,true,84
vendor,STRING,true,85
segment_by_key,STRING,true,86
vendor_unique_event_id,STRING,true,87
data_owner_id,INT64,true,88
data_owner_code,STRING,true,89
