column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
name,STRING,true,3
owner_type,STRING,true,4
owner_id,INT64,true,5
uuid,STRING,true,6
utc_created_at,TIMESTAMP,true,7
utc_updated_at,TIMESTAMP,true,8
syndicated,INT64,true,9
hidden,INT64,true,10
validation_regexp,STRING,true,11
validation_description,STRING,true,12
notes,STRING,true,13
source_schema,STRING,true,14
source_table,STRING,true,15
vendor,STRING,true,16
segment_by_key,STRING,true,17
vendor_unique_field_name_id,STRING,true,18
data_owner_id,INT64,true,19
data_owner_code,STRING,true,20
