column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
filterable_id,INT64,true,3
filterable_type,STRING,true,4
params,STRING,true,5
results,STRING,true,6
utc_created_at,TIMESTAMP,true,7
utc_updated_at,TIMESTAMP,true,8
backup_params,STRING,true,9
status,INT64,true,10
uuid,STRING,true,11
total,INT64,true,12
source_schema,STRING,true,13
source_table,STRING,true,14
vendor,STRING,true,15
segment_by_key,STRING,true,16
vendor_unique_filter_id,STRING,true,17
data_owner_id,INT64,true,18
data_owner_code,STRING,true,19
