column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
title,STRING,true,3
target_name,STRING,true,4
target_title,STRING,true,5
target_organization,STRING,true,6
description_info,STRING,true,7
description_text,STRING,true,8
donation_count,INT64,true,9
donation_goal,INT64,true,10
user_id,INT64,true,11
group_id,INT64,true,12
utc_created_at,TIMESTAMP,true,13
utc_updated_at,TIMESTAMP,true,14
photo_file_name,STRING,true,15
photo_content_type,STRING,true,16
photo_file_size,INT64,true,17
permalink,STRING,true,18
status,INT64,true,19
custom_fields,STRING,true,20
first_publish,INT64,true,21
redirect_url,STRING,true,22
share_url,STRING,true,23
amounts,STRING,true,24
recurring,INT64,true,25
recurring_options,STRING,true,26
slider_type,STRING,true,27
dollars_goal,INT64,true,28
stats,STRING,true,29
suppress_autoresponse,INT64,true,30
uuid,STRING,true,31
originating_system,STRING,true,32
first_permalink,STRING,true,33
salesforce_id,STRING,true,34
display_creator,INT64,true,35
csv_file_name,STRING,true,36
csv_content_type,STRING,true,37
csv_file_size,INT64,true,38
donations_without_email,INT64,true,39
default_email,STRING,true,40
tag_list,STRING,true,41
administrative_title,STRING,true,42
form_builder_output,STRING,true,43
form_builder_output_json,STRING,true,44
hidden,INT64,true,45
instructions,STRING,true,46
display_sharing_options,INT64,true,47
language,STRING,true,48
csv_updated_at,TIMESTAMP,true,49
thank_you_headline,STRING,true,50
thank_you_subhead,STRING,true,51
image_attribution,STRING,true,52
recurring_upsell,INT64,true,53
recurring_upsell_description,STRING,true,54
browser_url,STRING,true,55
source_schema,STRING,true,56
source_table,STRING,true,57
vendor,STRING,true,58
segment_by_key,STRING,true,59
vendor_unique_fundraising_id,STRING,true,60
data_owner_id,INT64,true,61
data_owner_code,STRING,true,62
