column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
group_id,INT64,true,3
source_code,STRING,true,4
total_count,INT64,true,5
new_users_count,INT64,true,6
start_at,TIMESTAMP,true,7
end_at,TIMESTAMP,true,8
utc_created_at,TIMESTAMP,true,9
utc_updated_at,TIMESTAMP,true,10
last_subscription_id,INT64,true,11
source_schema,STRING,true,12
source_table,STRING,true,13
vendor,STRING,true,14
segment_by_key,STRING,true,15
vendor_unique_group_growth_by_source_code_id,STRING,true,16
data_owner_id,INT64,true,17
data_owner_code,STRING,true,18
