column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
letter_id,INT64,true,3
tips,STRING,true,4
targets,INT64,true,5
can_edit,INT64,true,6
utc_created_at,TIMESTAMP,true,7
utc_updated_at,TIMESTAMP,true,8
subject,STRING,true,9
message,STRING,true,10
editable,INT64,true,11
variants,STRING,true,12
image_attribution,STRING,true,13
hide_signer_personal_information,INT64,true,14
source_schema,STRING,true,15
source_table,STRING,true,16
vendor,STRING,true,17
segment_by_key,STRING,true,18
vendor_unique_letter_template_id,STRING,true,19
data_owner_id,INT64,true,20
data_owner_code,STRING,true,21
