column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
title,STRING,true,3
user_id,INT64,true,4
group_id,INT64,true,5
csv_content_type,STRING,true,6
csv_file_size,INT64,true,7
csv_file_name,STRING,true,8
list_type,STRING,true,9
utc_created_at,TIMESTAMP,true,10
utc_updated_at,TIMESTAMP,true,11
permalink,STRING,true,12
fail_message,STRING,true,13
failure,INT64,true,14
overwrite,INT64,true,15
overwrite_subs,INT64,true,16
delete_subs,INT64,true,17
unsubscribe,INT64,true,18
tag_list,STRING,true,19
field_mapping,STRING,true,20
delete_new_users,INT64,true,21
hidden,INT64,true,22
status,INT64,true,23
total_count,INT64,true,24
new_count,INT64,true,25
clear_blank_fields,INT64,true,26
start_at,TIMESTAMP,true,27
upload_type,STRING,true,28
uploaded_by_id,INT64,true,29
overwrite_sms_subs,INT64,true,30
unsubscribe_sms,INT64,true,31
delete_sms_subs,INT64,true,32
add_unsub,INT64,true,33
add_sms_subscribed,INT64,true,34
total_rows_count,INT64,true,35
new_mobile_count,INT64,true,36
skip_triggers,INT64,true,37
source_schema,STRING,true,38
source_table,STRING,true,39
vendor,STRING,true,40
segment_by_key,STRING,true,41
vendor_unique_list_id,STRING,true,42
data_owner_id,INT64,true,43
data_owner_code,STRING,true,44
