column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
location_name,STRING,true,3
event_campaign_id,INT64,true,4
address,STRING,true,5
city,STRING,true,6
state,STRING,true,7
utc_created_at,TIMESTAMP,true,8
utc_updated_at,TIMESTAMP,true,9
latitude,FLOAT64,true,10
longitude,FLOAT64,true,11
event_id,INT64,true,12
status,INT64,true,13
zip_code,STRING,true,14
event_campaign_upload_id,INT64,true,15
country,STRING,true,16
source_schema,STRING,true,17
source_table,STRING,true,18
vendor,STRING,true,19
segment_by_key,STRING,true,20
vendor_unique_location_id,STRING,true,21
data_owner_id,INT64,true,22
data_owner_code,STRING,true,23
