column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
sending_id,INT64,true,3
sending_type,STRING,true,4
action_id,INT64,true,5
action_type,STRING,true,6
referrer,STRING,true,7
utc_created_at,TIMESTAMP,true,8
utc_updated_at,TIMESTAMP,true,9
source_schema,STRING,true,10
source_table,STRING,true,11
vendor,STRING,true,12
segment_by_key,STRING,true,13
vendor_unique_message_action_id,STRING,true,14
data_owner_id,INT64,true,15
data_owner_code,STRING,true,16
