column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
top_level_group_id,INT64,true,3
name,STRING,true,4
utc_created_at,TIMESTAMP,true,5
utc_updated_at,TIMESTAMP,true,6
lock_custom_fields,INT64,true,7
terms,STRING,true,8
ip_pool_name,STRING,true,9
csv_file_name,STRING,true,10
csv_content_type,STRING,true,11
csv_file_size,INT64,true,12
utc_csv_updated_at,TIMESTAMP,true,13
sms_enabled,INT64,true,14
opted_in_mobile_number,INT64,true,15
source_schema,STRING,true,16
source_table,STRING,true,17
vendor,STRING,true,18
segment_by_key,STRING,true,19
vendor_unique_network_id,STRING,true,20
data_owner_id,INT64,true,21
data_owner_code,STRING,true,22
