column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
title,STRING,true,3
target_name,STRING,true,4
target_title,STRING,true,5
target_organization,STRING,true,6
description_info,STRING,true,7
description_text,STRING,true,8
signature_count,INT64,true,9
signature_goal,INT64,true,10
user_id,INT64,true,11
group_id,INT64,true,12
utc_created_at,TIMESTAMP,true,13
utc_updated_at,TIMESTAMP,true,14
photo_file_name,STRING,true,15
photo_content_type,STRING,true,16
photo_file_size,INT64,true,17
permalink,STRING,true,18
status,INT64,true,19
custom_fields,STRING,true,20
first_publish,INT64,true,21
redirect_url,STRING,true,22
share_url,STRING,true,23
stats,STRING,true,24
uuid,STRING,true,25
suppress_autoresponse,INT64,true,26
originating_system,STRING,true,27
first_permalink,STRING,true,28
salesforce_id,STRING,true,29
display_creator,INT64,true,30
csv_file_name,STRING,true,31
csv_content_type,STRING,true,32
csv_file_size,INT64,true,33
tag_list,STRING,true,34
administrative_title,STRING,true,35
form_builder_output,STRING,true,36
form_builder_output_json,STRING,true,37
show_goal,INT64,true,38
hidden,INT64,true,39
pdf_file_name,STRING,true,40
pdf_content_type,STRING,true,41
pdf_file_size,INT64,true,42
utc_pdf_updated_at,TIMESTAMP,true,43
instructions,STRING,true,44
display_sharing_options,INT64,true,45
submit_button_title,STRING,true,46
language,STRING,true,47
first_name_required,INT64,true,48
last_name_required,INT64,true,49
zip_code_required,INT64,true,50
first_name_present,INT64,true,51
last_name_present,INT64,true,52
zip_code_present,INT64,true,53
utc_csv_updated_at,TIMESTAMP,true,54
thank_you_headline,STRING,true,55
thank_you_subhead,STRING,true,56
image_attribution,STRING,true,57
browser_url,STRING,true,58
source_schema,STRING,true,59
source_table,STRING,true,60
vendor,STRING,true,61
segment_by_key,STRING,true,62
vendor_unique_petition_id,STRING,true,63
data_owner_id,INT64,true,64
data_owner_code,STRING,true,65
