column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
display_name,STRING,true,3
message_to_target,STRING,true,4
event_id,INT64,true,5
user_id,INT64,true,6
utc_created_at,TIMESTAMP,true,7
utc_updated_at,TIMESTAMP,true,8
updates_from_creator,INT64,true,9
updates_from_sponsor,INT64,true,10
first_name,STRING,true,11
last_name,STRING,true,12
zip_code,STRING,true,13
email_address,STRING,true,14
custom_fields,STRING,true,15
uuid,STRING,true,16
originating_system,STRING,true,17
country,STRING,true,18
tag_list,STRING,true,19
street,STRING,true,20
city,STRING,true,21
guest_count,INT64,true,22
phone,STRING,true,23
source_schema,STRING,true,24
source_table,STRING,true,25
vendor,STRING,true,26
segment_by_key,STRING,true,27
vendor_unique_rsvp_id,STRING,true,28
data_owner_id,INT64,true,29
data_owner_code,STRING,true,30
