column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
user_id,INT64,true,3
group_id,INT64,true,4
message,STRING,true,5
twilio_message_id,STRING,true,6
read,INT64,true,7
from,STRING,true,8
to,STRING,true,9
message_type,STRING,true,10
utc_created_at,TIMESTAMP,true,11
utc_updated_at,TIMESTAMP,true,12
flagged,INT64,true,13
source_schema,STRING,true,14
source_table,STRING,true,15
vendor,STRING,true,16
segment_by_key,STRING,true,17
vendor_unique_sms_message_id,STRING,true,18
data_owner_id,INT64,true,19
data_owner_code,STRING,true,20
