column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
user_id,INT64,true,3
group_id,INT64,true,4
subscriber_id,INT64,true,5
source_action_type,STRING,true,6
source_action_id,INT64,true,7
source_code,STRING,true,8
utc_created_at,TIMESTAMP,true,9
utc_updated_at,TIMESTAMP,true,10
custom_fields,STRING,true,11
new_user,INT64,true,12
http_referer,STRING,true,13
amount,FLOAT64,true,14
user_action_id,INT64,true,15
processed,INT64,true,16
salesforce,INT64,true,17
salesforce_id,STRING,true,18
network_group_id,INT64,true,19
status,INT64,true,20
source_schema,STRING,true,21
source_table,STRING,true,22
vendor,STRING,true,23
segment_by_key,STRING,true,24
vendor_unique_subscription_id,STRING,true,25
data_owner_id,INT64,true,26
data_owner_code,STRING,true,27
