column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
title,STRING,true,3
csv_file_name,STRING,true,4
csv_file_size,INT64,true,5
csv_content_type,STRING,true,6
user_id,INT64,true,7
group_id,INT64,true,8
failure,INT64,true,9
fail_message,STRING,true,10
utc_created_at,TIMESTAMP,true,11
utc_updated_at,TIMESTAMP,true,12
network_share,INT64,true,13
shapefile,INT64,true,14
source_schema,STRING,true,15
source_table,STRING,true,16
vendor,STRING,true,17
segment_by_key,STRING,true,18
vendor_unique_target_id,STRING,true,19
data_owner_id,INT64,true,20
data_owner_code,STRING,true,21
