column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
wepay_account_id,INT64,true,3
payer_id,INT64,true,4
checkout_id,INT64,true,5
utc_created_at,TIMESTAMP,true,6
utc_updated_at,TIMESTAMP,true,7
ticketed_event_id,INT64,true,8
tip_amount,INT64,true,9
custom_amount,FLOAT64,true,10
tag_list,STRING,true,11
custom_fields,STRING,true,12
first_name,STRING,true,13
last_name,STRING,true,14
email_address,STRING,true,15
address,STRING,true,16
city,STRING,true,17
country,STRING,true,18
zip_code,STRING,true,19
state,STRING,true,20
amount,FLOAT64,true,21
is_free,INT64,true,22
originating_system,STRING,true,23
checkout_status,STRING,true,24
stripe_account_id,INT64,true,25
stripe_charge_id,STRING,true,26
is_comp,INT64,true,27
phone_number,STRING,true,28
source_schema,STRING,true,29
source_table,STRING,true,30
vendor,STRING,true,31
segment_by_key,STRING,true,32
vendor_unique_ticket_receipt_id,STRING,true,33
data_owner_id,INT64,true,34
data_owner_code,STRING,true,35
