column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
user_id,INT64,true,3
ladder_id,INT64,true,4
step_id,INT64,true,5
rung_id,INT64,true,6
wait_time,TIMESTAMP,true,7
utc_created_at,TIMESTAMP,true,8
utc_updated_at,TIMESTAMP,true,9
extra_data,STRING,true,10
source_schema,STRING,true,11
source_table,STRING,true,12
vendor,STRING,true,13
segment_by_key,STRING,true,14
vendor_unique_user_ladder_status_id,STRING,true,15
data_owner_id,INT64,true,16
data_owner_code,STRING,true,17
