column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
merged_user_id,INT64,true,3
removed_user_id,INT64,true,4
list_type,STRING,true,5
list_id,INT64,true,6
utc_created_at,TIMESTAMP,true,7
utc_updated_at,TIMESTAMP,true,8
merged_user_email_address,STRING,true,9
removed_user_email_address,STRING,true,10
source_schema,STRING,true,11
source_table,STRING,true,12
vendor,STRING,true,13
segment_by_key,STRING,true,14
vendor_unique_user_merge_log_id,STRING,true,15
data_owner_id,INT64,true,16
data_owner_code,STRING,true,17
