column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
email,STRING,true,3
utc_reset_password_sent_at,TIMESTAMP,true,4
utc_remember_created_at,TIMESTAMP,true,5
sign_in_count,INT64,true,6
utc_current_sign_in_at,TIMESTAMP,true,7
utc_last_sign_in_at,TIMESTAMP,true,8
current_sign_in_ip,STRING,true,9
last_sign_in_ip,STRING,true,10
utc_created_at,TIMESTAMP,true,11
utc_updated_at,TIMESTAMP,true,12
utc_confirmed_at,TIMESTAMP,true,13
utc_confirmation_sent_at,TIMESTAMP,true,14
unconfirmed_email,STRING,true,15
agree,INT64,true,16
role,INT64,true,17
permalink,STRING,true,18
auth_hash,STRING,true,19
info,STRING,true,20
avatar_file_name,STRING,true,21
avatar_content_type,STRING,true,22
avatar_file_size,INT64,true,23
utc_deleted_at,TIMESTAMP,true,24
receive_transactional_email,INT64,true,25
is_super_admin,INT64,true,26
lists_enabled,INT64,true,27
redirects_enabled,INT64,true,28
email_templates_enabled,INT64,true,29
current_email_template_id,INT64,true,30
save_credit_card,INT64,true,31
credit_card_last_4_digits,STRING,true,32
stats,STRING,true,33
uuid,STRING,true,34
originating_system,STRING,true,35
salesforce_last_update,TIMESTAMP,true,36
salesforce_custom_fields,STRING,true,37
salesforce_sync_enabled,INT64,true,38
salesforce_sync_successful,INT64,true,39
root_group_id,INT64,true,40
enable_applications,INT64,true,41
current_page_wrapper_id,INT64,true,42
custom_fields_enabled,INT64,true,43
language,STRING,true,44
source_schema,STRING,true,45
source_table,STRING,true,46
vendor,STRING,true,47
segment_by_key,STRING,true,48
vendor_unique_user_id,STRING,true,49
data_owner_id,INT64,true,50
data_owner_code,STRING,true,51
