column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
webhook_id,INT64,true,3
trigger_id,INT64,true,4
group_id,INT64,true,5
user_id,INT64,true,6
error,INT64,true,7
attempts,INT64,true,8
error_message,STRING,true,9
extra_data,STRING,true,10
utc_created_at,TIMESTAMP,true,11
utc_updated_at,TIMESTAMP,true,12
source_schema,STRING,true,13
source_table,STRING,true,14
vendor,STRING,true,15
segment_by_key,STRING,true,16
vendor_unique_webhook_message_id,STRING,true,17
data_owner_id,INT64,true,18
data_owner_code,STRING,true,19
