column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
title,STRING,true,3
group_id,INT64,true,4
description_text,STRING,true,5
photo_file_name,STRING,true,6
photo_content_type,STRING,true,7
photo_file_size,INT64,true,8
status,INT64,true,9
user_id,INT64,true,10
permalink,STRING,true,11
utc_created_at,TIMESTAMP,true,12
utc_updated_at,TIMESTAMP,true,13
first_publish,INT64,true,14
uuid,STRING,true,15
first_permalink,STRING,true,16
administrative_title,STRING,true,17
hidden,INT64,true,18
language,STRING,true,19
image_attribution,STRING,true,20
source_schema,STRING,true,21
source_table,STRING,true,22
vendor,STRING,true,23
segment_by_key,STRING,true,24
vendor_unique_campaign_id,STRING,true,25
data_owner_id,INT64,true,26
data_owner_code,STRING,true,27
