column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
source_type,STRING,true,3
source_id,INT64,true,4
catalist_id,STRING,true,5
active,INT64,true,6
dwid_field,STRING,true,7
utc_created_at,TIMESTAMP,true,8
utc_updated_at,TIMESTAMP,true,9
client_id,STRING,true,10
client_secret,STRING,true,11
token,STRING,true,12
token_expires_in,INT64,true,13
token_updated_at,INT64,true,14
source_schema,STRING,true,15
source_table,STRING,true,16
vendor,STRING,true,17
segment_by_key,STRING,true,18
vendor_unique_catalist_sync_id,STRING,true,19
data_owner_id,INT64,true,20
data_owner_code,STRING,true,21
