column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
title,STRING,true,3
content,STRING,true,4
user_id,INT64,true,5
commentable_id,INT64,true,6
commentable_type,STRING,true,7
utc_created_at,TIMESTAMP,true,8
utc_updated_at,TIMESTAMP,true,9
parent_id,INT64,true,10
group_id,INT64,true,11
user_list_id,INT64,true,12
source_schema,STRING,true,13
source_table,STRING,true,14
vendor,STRING,true,15
segment_by_key,STRING,true,16
vendor_unique_comment_id,STRING,true,17
data_owner_id,INT64,true,18
data_owner_code,STRING,true,19
