column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
user_id,INT64,true,3
owner_id,INT64,true,4
owner_type,STRING,true,5
first_name,STRING,true,6
last_name,STRING,true,7
street,STRING,true,8
city,STRING,true,9
zip_code,STRING,true,10
state,STRING,true,11
country,STRING,true,12
language,STRING,true,13
latitude,NUMERIC,true,14
longitude,NUMERIC,true,15
utc_created_at,TIMESTAMP,true,16
utc_updated_at,TIMESTAMP,true,17
raw_phone_number,STRING,true,18
phone_number,STRING,true,19
source_schema,STRING,true,20
source_table,STRING,true,21
vendor,STRING,true,22
segment_by_key,STRING,true,23
vendor_unique_core_field_id,STRING,true,24
data_owner_id,INT64,true,25
data_owner_code,STRING,true,26
