column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
display_name,STRING,true,3
message_to_target,STRING,true,4
letter_id,INT64,true,5
user_id,INT64,true,6
utc_created_at,TIMESTAMP,true,7
utc_updated_at,TIMESTAMP,true,8
updates_from_creator,INT64,true,9
updates_from_sponsor,INT64,true,10
first_name,STRING,true,11
last_name,STRING,true,12
zip_code,STRING,true,13
email_address,STRING,true,14
street,STRING,true,15
city,STRING,true,16
custom_fields,STRING,true,17
uuid,STRING,true,18
originating_system,STRING,true,19
country,STRING,true,20
form_data,STRING,true,21
status,INT64,true,22
state,STRING,true,23
tag_list,STRING,true,24
phone_number,STRING,true,25
source_schema,STRING,true,26
source_table,STRING,true,27
vendor,STRING,true,28
segment_by_key,STRING,true,29
vendor_unique_delivery_id,STRING,true,30
data_owner_id,INT64,true,31
data_owner_code,STRING,true,32
