column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
delivery_id,INT64,true,3
status,INT64,true,4
delivery_method,STRING,true,5
target_name,STRING,true,6
bioid,STRING,true,7
letter_template_id,INT64,true,8
subject,STRING,true,9
message,STRING,true,10
utc_created_at,TIMESTAMP,true,11
utc_updated_at,TIMESTAMP,true,12
email,STRING,true,13
captcha_required,INT64,true,14
captcha_uid,STRING,true,15
captcha_url,STRING,true,16
form_data,STRING,true,17
target_position,STRING,true,18
target_state,STRING,true,19
target_district,STRING,true,20
target_party,STRING,true,21
uuid,STRING,true,22
source_schema,STRING,true,23
source_table,STRING,true,24
vendor,STRING,true,25
segment_by_key,STRING,true,26
vendor_unique_delivery_target_id,STRING,true,27
data_owner_id,INT64,true,28
data_owner_code,STRING,true,29
