column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
display_name,STRING,true,3
message_to_target,STRING,true,4
fundraising_id,INT64,true,5
user_id,INT64,true,6
utc_created_at,TIMESTAMP,true,7
utc_updated_at,TIMESTAMP,true,8
updates_from_creator,INT64,true,9
updates_from_sponsor,INT64,true,10
first_name,STRING,true,11
last_name,STRING,true,12
zip_code,STRING,true,13
email_address,STRING,true,14
custom_fields,STRING,true,15
amount,FLOAT64,true,16
custom_amount,FLOAT64,true,17
recurring_period,STRING,true,18
address,STRING,true,19
city,STRING,true,20
state,STRING,true,21
recurring,INT64,true,22
total_amount,FLOAT64,true,23
uuid,STRING,true,24
originating_system,STRING,true,25
salesforce_id,STRING,true,26
country,STRING,true,27
tag_list,STRING,true,28
phone,STRING,true,29
source_schema,STRING,true,30
source_table,STRING,true,31
vendor,STRING,true,32
segment_by_key,STRING,true,33
vendor_unique_donation_id,STRING,true,34
data_owner_id,INT64,true,35
data_owner_code,STRING,true,36
