column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
field_type,STRING,true,3
email_id,INT64,true,4
text,STRING,true,5
utc_created_at,TIMESTAMP,true,6
utc_updated_at,TIMESTAMP,true,7
title,STRING,true,8
builder_html,STRING,true,9
builder_json,STRING,true,10
source_schema,STRING,true,11
source_table,STRING,true,12
vendor,STRING,true,13
segment_by_key,STRING,true,14
vendor_unique_email_field_id,STRING,true,15
data_owner_id,INT64,true,16
data_owner_code,STRING,true,17
