column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
event_campaign_id,INT64,true,3
user_id,INT64,true,4
csv_content_type,STRING,true,5
csv_file_size,INT64,true,6
csv_file_name,STRING,true,7
upload_type,STRING,true,8
rows,INT64,true,9
failure,INT64,true,10
fail_message,STRING,true,11
utc_created_at,TIMESTAMP,true,12
utc_updated_at,TIMESTAMP,true,13
source_schema,STRING,true,14
source_table,STRING,true,15
vendor,STRING,true,16
segment_by_key,STRING,true,17
vendor_unique_event_campaign_upload_id,STRING,true,18
data_owner_id,INT64,true,19
data_owner_code,STRING,true,20
