column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
title,STRING,true,3
target_name,STRING,true,4
target_title,STRING,true,5
target_organization,STRING,true,6
description_info,STRING,true,7
description_text,STRING,true,8
answer_count,INT64,true,9
answer_goal,INT64,true,10
user_id,INT64,true,11
group_id,INT64,true,12
utc_created_at,TIMESTAMP,true,13
utc_updated_at,TIMESTAMP,true,14
photo_file_name,STRING,true,15
photo_content_type,STRING,true,16
photo_file_size,INT64,true,17
permalink,STRING,true,18
status,INT64,true,19
custom_fields,STRING,true,20
form_heading,STRING,true,21
first_publish,INT64,true,22
show_goal,INT64,true,23
form_builder_output,STRING,true,24
form_builder_output_json,STRING,true,25
redirect_url,STRING,true,26
share_url,STRING,true,27
stats,STRING,true,28
uuid,STRING,true,29
suppress_autoresponse,INT64,true,30
originating_system,STRING,true,31
first_permalink,STRING,true,32
salesforce_id,STRING,true,33
display_creator,INT64,true,34
csv_file_name,STRING,true,35
csv_content_type,STRING,true,36
csv_file_size,INT64,true,37
tag_list,STRING,true,38
administrative_title,STRING,true,39
hidden,INT64,true,40
instructions,STRING,true,41
display_sharing_options,INT64,true,42
submit_button_title,STRING,true,43
language,STRING,true,44
first_name_required,INT64,true,45
last_name_required,INT64,true,46
zip_code_required,INT64,true,47
first_name_present,INT64,true,48
last_name_present,INT64,true,49
zip_code_present,INT64,true,50
csv_updated_at,TIMESTAMP,true,51
thank_you_headline,STRING,true,52
thank_you_subhead,STRING,true,53
image_attribution,STRING,true,54
browser_url,STRING,true,55
source_schema,STRING,true,56
source_table,STRING,true,57
vendor,STRING,true,58
segment_by_key,STRING,true,59
vendor_unique_form_id,STRING,true,60
data_owner_id,INT64,true,61
data_owner_code,STRING,true,62
