column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
group_id,INT64,true,3
source_action_id,STRING,true,4
source_action_type,STRING,true,5
total_count,INT64,true,6
new_users_count,INT64,true,7
start_at,TIMESTAMP,true,8
end_at,TIMESTAMP,true,9
utc_created_at,TIMESTAMP,true,10
utc_updated_at,TIMESTAMP,true,11
last_subscription_id,INT64,true,12
source_schema,STRING,true,13
source_table,STRING,true,14
vendor,STRING,true,15
segment_by_key,STRING,true,16
vendor_unique_group_growth_by_source_action_id,STRING,true,17
data_owner_id,INT64,true,18
data_owner_code,STRING,true,19
