column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
name,STRING,true,3
localization,STRING,true,4
utc_created_at,TIMESTAMP,true,5
utc_updated_at,TIMESTAMP,true,6
email_address,STRING,true,7
users_count,INT64,true,8
zip_code,STRING,true,9
permalink,STRING,true,10
description_text,STRING,true,11
photo_file_name,STRING,true,12
photo_content_type,STRING,true,13
photo_file_size,INT64,true,14
status,INT64,true,15
latitude,FLOAT64,true,16
longitude,FLOAT64,true,17
city,STRING,true,18
state,STRING,true,19
street,STRING,true,20
country,STRING,true,21
user_id,INT64,true,22
first_publish,INT64,true,23
campaigns_enabled,INT64,true,24
redirects_enabled,INT64,true,25
current_email_template_id,INT64,true,26
stats,STRING,true,27
discussion,INT64,true,28
api_key,STRING,true,29
first_permalink,STRING,true,30
salesforce_last_update,TIMESTAMP,true,31
salesforce_custom_fields,STRING,true,32
salesforce_sync_enabled,INT64,true,33
salesforce_sync_successful,INT64,true,34
parent_id,INT64,true,35
network_id,INT64,true,36
email_from,STRING,true,37
email_replyto,STRING,true,38
signoff,STRING,true,39
applications,INT64,true,40
donations_without_emails,INT64,true,41
current_page_wrapper_id,INT64,true,42
administrative_title,STRING,true,43
adhoc_group_ids,STRING,true,44
ip_pool_name,STRING,true,45
csv_file_name,STRING,true,46
csv_content_type,STRING,true,47
csv_file_size,INT64,true,48
csv_updated_at,TIMESTAMP,true,49
notify_mass_email,INT64,true,50
mass_emails_to_notify,STRING,true,51
cancel_donations,INT64,true,52
donation_receipt_email,STRING,true,53
donation_failed_email,STRING,true,54
cancel_donations_instructions,STRING,true,55
auto_merge,INT64,true,56
network_csv_file_name,STRING,true,57
network_csv_content_type,STRING,true,58
network_csv_file_size,INT64,true,59
use_affirmative_opt_ins,INT64,true,60
use_additional_text,INT64,true,61
additional_text,STRING,true,62
network_csv_updated_at,TIMESTAMP,true,63
language,STRING,true,64
default_country,STRING,true,65
default_facebook_image_file_name,STRING,true,66
default_facebook_image_content_type,STRING,true,67
default_facebook_image_file_size,INT64,true,68
default_facebook_image_updated_at,TIMESTAMP,true,69
default_twitter_handle,STRING,true,70
twilio_active,INT64,true,71
sms_enabled,INT64,true,72
twilio_help_message,STRING,true,73
twilio_unsubscribe_message,STRING,true,74
sms_stats,STRING,true,75
image_attribution,STRING,true,76
additional_sms_opt_in_text,STRING,true,77
default_report_id,INT64,true,78
flow_up_sms_opt_ins,INT64,true,79
email_stats_csv_content_type,STRING,true,80
email_stats_csv_file_size,INT64,true,81
email_stats_csv_file_name,STRING,true,82
email_stats_csv_updated_at,TIMESTAMP,true,83
mobile_message_stats_csv_content_type,STRING,true,84
mobile_message_stats_csv_file_size,INT64,true,85
mobile_message_stats_csv_file_name,STRING,true,86
mobile_message_stats_csv_updated_at,TIMESTAMP,true,87
default_targeting_include_id,INT64,true,88
default_targeting_exclude_id,INT64,true,89
source_schema,STRING,true,90
source_table,STRING,true,91
vendor,STRING,true,92
segment_by_key,STRING,true,93
vendor_unique_group_id,STRING,true,94
data_owner_id,INT64,true,95
data_owner_code,STRING,true,96
