column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
group_id,INT64,true,3
syndication_id,INT64,true,4
action_id,INT64,true,5
action_type,STRING,true,6
email_id,INT64,true,7
read,INT64,true,8
utc_created_at,TIMESTAMP,true,9
utc_updated_at,TIMESTAMP,true,10
notified,INT64,true,11
source_schema,STRING,true,12
source_table,STRING,true,13
vendor,STRING,true,14
segment_by_key,STRING,true,15
vendor_unique_groups_syndication_id,STRING,true,16
data_owner_id,INT64,true,17
data_owner_code,STRING,true,18
