column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
group_id,INT64,true,3
user_id,INT64,true,4
is_leader,INT64,true,5
approved,INT64,true,6
utc_created_at,TIMESTAMP,true,7
utc_updated_at,TIMESTAMP,true,8
join_message,STRING,true,9
user_permissions,STRING,true,10
first_visit,INT64,true,11
hidden,INT64,true,12
non_inherited,INT64,true,13
source_schema,STRING,true,14
source_table,STRING,true,15
vendor,STRING,true,16
segment_by_key,STRING,true,17
vendor_unique_groups_user_id,STRING,true,18
data_owner_id,INT64,true,19
data_owner_code,STRING,true,20
