column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
group_id,INT64,true,3
title,STRING,true,4
notes,STRING,true,5
structure,STRING,true,6
utc_created_at,TIMESTAMP,true,7
utc_updated_at,TIMESTAMP,true,8
stats,STRING,true,9
status,INT64,true,10
hidden,INT64,true,11
schedule_action,STRING,true,12
auto_end_date,TIMESTAMP,true,13
creator_id,INT64,true,14
source_schema,STRING,true,15
source_table,STRING,true,16
vendor,STRING,true,17
segment_by_key,STRING,true,18
vendor_unique_ladder_id,STRING,true,19
data_owner_id,INT64,true,20
data_owner_code,STRING,true,21
