column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
user_id,INT64,true,3
group_id,INT64,true,4
letter_template_count,INT64,true,5
status,INT64,true,6
title,STRING,true,7
target,STRING,true,8
description,STRING,true,9
goal_slider,INT64,true,10
delivery_count,INT64,true,11
delivery_goal,INT64,true,12
show_goal,INT64,true,13
custom_fields,STRING,true,14
permalink,STRING,true,15
photo_file_name,STRING,true,16
photo_content_type,STRING,true,17
photo_file_size,INT64,true,18
first_publish,INT64,true,19
redirect_url,STRING,true,20
share_url,STRING,true,21
stats,STRING,true,22
uuid,STRING,true,23
suppress_autoresponse,INT64,true,24
originating_system,STRING,true,25
first_permalink,STRING,true,26
salesforce_id,STRING,true,27
display_creator,INT64,true,28
csv_file_name,STRING,true,29
csv_content_type,STRING,true,30
csv_file_size,INT64,true,31
utc_created_at,TIMESTAMP,true,32
utc_updated_at,TIMESTAMP,true,33
test_mode,INT64,true,34
no_target_redirect,STRING,true,35
tag_list,STRING,true,36
administrative_title,STRING,true,37
form_builder_output,STRING,true,38
form_builder_output_json,STRING,true,39
hidden,INT64,true,40
instructions,STRING,true,41
display_sharing_options,INT64,true,42
language,STRING,true,43
street_required,INT64,true,44
street_present,INT64,true,45
city_required,INT64,true,46
city_present,INT64,true,47
csv_updated_at,TIMESTAMP,true,48
thank_you_headline,STRING,true,49
thank_you_subhead,STRING,true,50
image_attribution,STRING,true,51
browser_url,STRING,true,52
source_schema,STRING,true,53
source_table,STRING,true,54
vendor,STRING,true,55
segment_by_key,STRING,true,56
vendor_unique_letter_id,STRING,true,57
data_owner_id,INT64,true,58
data_owner_code,STRING,true,59
