column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
body,STRING,true,3
permalink,STRING,true,4
first_permalink,STRING,true,5
administrative_title,STRING,true,6
status,INT64,true,7
user_id,INT64,true,8
group_id,INT64,true,9
total_sent,INT64,true,10
utc_created_at,TIMESTAMP,true,11
utc_updated_at,TIMESTAMP,true,12
send_date,TIMESTAMP,true,13
is_sending,INT64,true,14
stats,STRING,true,15
finish_send,INT64,true,16
actions_count,INT64,true,17
tag_list,STRING,true,18
hidden,INT64,true,19
uuid,STRING,true,20
delivered_at,TIMESTAMP,true,21
timezones,STRING,true,22
media_url,STRING,true,23
total_segments,INT64,true,24
source_schema,STRING,true,25
source_table,STRING,true,26
vendor,STRING,true,27
segment_by_key,STRING,true,28
vendor_unique_mobile_message_id,STRING,true,29
data_owner_id,INT64,true,30
data_owner_code,STRING,true,31
