column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
name,STRING,true,3
header,STRING,true,4
footer,STRING,true,5
user_id,INT64,true,6
group_id,INT64,true,7
utc_created_at,TIMESTAMP,true,8
utc_updated_at,TIMESTAMP,true,9
logo_content_type,STRING,true,10
logo_file_name,STRING,true,11
logo_file_size,INT64,true,12
logo_dimensions,STRING,true,13
notes,STRING,true,14
syndicated,INT64,true,15
hidden,INT64,true,16
source_schema,STRING,true,17
source_table,STRING,true,18
vendor,STRING,true,19
segment_by_key,STRING,true,20
vendor_unique_page_wrapper_id,STRING,true,21
data_owner_id,INT64,true,22
data_owner_code,STRING,true,23
