column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
source_action_type,STRING,true,3
source_action_id,INT64,true,4
user_id,INT64,true,5
old_phone_number,STRING,true,6
new_phone_number,STRING,true,7
utc_created_at,TIMESTAMP,true,8
utc_updated_at,TIMESTAMP,true,9
owner_type,STRING,true,10
owner_id,INT64,true,11
source_schema,STRING,true,12
source_table,STRING,true,13
vendor,STRING,true,14
segment_by_key,STRING,true,15
vendor_unique_phone_change_log_id,STRING,true,16
data_owner_id,INT64,true,17
data_owner_code,STRING,true,18
