column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
user_id,INT64,true,3
group_id,INT64,true,4
key,STRING,true,5
uuid,STRING,true,6
utc_created_at,TIMESTAMP,true,7
utc_updated_at,TIMESTAMP,true,8
originating_system,STRING,true,9
field_type,STRING,true,10
settings,STRING,true,11
sent_to_children,INT64,true,12
parent_group_id,INT64,true,13
name,STRING,true,14
hidden,INT64,true,15
question_hidden,INT64,true,16
notes,STRING,true,17
source_schema,STRING,true,18
source_table,STRING,true,19
vendor,STRING,true,20
segment_by_key,STRING,true,21
vendor_unique_question_id,STRING,true,22
data_owner_id,INT64,true,23
data_owner_code,STRING,true,24
