column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
name,STRING,true,3
utc_created_at,TIMESTAMP,true,4
utc_updated_at,TIMESTAMP,true,5
permalink,STRING,true,6
user_id,INT64,true,7
report_format,STRING,true,8
csv_file_name,STRING,true,9
csv_content_type,STRING,true,10
csv_file_size,INT64,true,11
status,INT64,true,12
group_id,INT64,true,13
uuid,STRING,true,14
first_permalink,STRING,true,15
hidden,INT64,true,16
recurring_interval,STRING,true,17
recurring_emails,STRING,true,18
next_run_date,TIMESTAMP,true,19
start_date,TIMESTAMP,true,20
utc_csv_updated_at,TIMESTAMP,true,21
recurring_operations,STRING,true,22
end_date,TIMESTAMP,true,23
source_schema,STRING,true,24
source_table,STRING,true,25
vendor,STRING,true,26
segment_by_key,STRING,true,27
vendor_unique_report_id,STRING,true,28
data_owner_id,INT64,true,29
data_owner_code,STRING,true,30
